w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12;w13;w14;w15;w16;w17;w18;
0.49562;-0.10527;1.95566;2.39850;-0.20954;-0.41508;-1.34990;0.73737;0.67919;0.75213;2.76470;3.25287;-1.15387;0.43895;-0.59747;3.49714;3.92814;-0.42086;
0.49246;-0.10711;1.98202;2.42505;-0.21058;-0.41075;-1.34370;0.72792;0.67756;0.75799;2.77845;3.26955;-1.15572;0.44414;-0.59563;3.50405;3.93505;-0.42728;
0.48992;-0.10822;2.00856;2.45177;-0.21215;-0.40646;-1.33738;0.71805;0.67558;0.76312;2.79159;3.28566;-1.15859;0.44851;-0.59473;3.51052;3.94152;-0.43320;
0.48434;-0.11214;2.03833;2.48175;-0.24400;-0.43134;-1.34328;0.69049;0.65635;0.74869;2.77817;3.27574;-1.15610;0.46103;-0.58597;3.53656;3.96756;-0.46100;
0.48614;-0.10830;2.06336;2.50701;-0.21736;-0.39580;-1.32562;0.69620;0.66999;0.77104;2.81841;3.31872;-1.16637;0.45610;-0.59453;3.52426;3.95526;-0.44496;
0.48473;-0.10683;2.09247;2.53644;-0.22194;-0.38709;-1.32146;0.68340;0.66572;0.77296;2.83361;3.33732;-1.17083;0.46001;-0.59467;3.53330;3.96430;-0.45170;
0.48362;-0.10364;2.12400;2.56844;-0.22938;-0.37263;-1.32041;0.66805;0.65936;0.77194;2.85148;3.35900;-1.17541;0.46459;-0.59453;3.54632;3.97732;-0.46010;
0.47879;-0.10291;2.16384;2.60894;-0.27457;-0.38170;-1.33788;0.62995;0.63152;0.74684;2.84487;3.35756;-1.17298;0.48060;-0.58393;3.58806;4.01906;-0.49560;
0.48394;-0.09371;2.20676;2.65257;-0.25672;-0.31465;-1.33763;0.62017;0.63289;0.75809;2.89357;3.41194;-1.18643;0.47724;-0.59367;3.59542;4.02642;-0.48662;
0.48690;-0.09154;2.26703;2.71342;-0.27259;-0.27502;-1.35883;0.58116;0.60748;0.74911;2.90793;3.43489;-1.19562;0.48510;-0.59443;3.63172;4.06273;-0.50530;
0.49169;-0.09331;2.34559;2.79233;-0.28651;-0.23328;-1.38888;0.52718;0.56944;0.74169;2.91026;3.44910;-1.20944;0.49470;-0.59620;3.67332;4.10432;-0.52708;
0.49049;-0.10616;2.44947;2.89629;-0.34068;-0.23411;-1.44113;0.43586;0.49687;0.71776;2.86890;3.42450;-1.21945;0.52246;-0.58361;3.74471;4.17571;-0.57991;
0.49905;-0.11282;2.56826;3.01496;-0.30773;-0.15189;-1.47678;0.35672;0.43777;0.74667;2.87226;3.44831;-1.26251;0.52381;-0.60072;3.76383;4.19483;-0.57542;
0.49627;-0.13285;2.70153;3.14797;-0.31841;-0.11793;-1.53376;0.23385;0.33611;0.78660;2.85630;3.45686;-1.30999;0.54540;-0.60109;3.80507;4.23608;-0.59578;
0.48957;-0.15749;2.81891;3.26501;-0.33196;-0.09193;-1.59393;0.09713;0.21880;0.87505;2.88569;3.50926;-1.36917;0.57404;-0.59471;3.83765;4.26865;-0.60701;
0.47097;-0.19437;2.90681;3.35258;-0.38117;-0.10648;-1.65664;-0.04462;0.09326;0.97768;2.93473;3.57655;-1.42655;0.61687;-0.57157;3.87827;4.30927;-0.62500;
0.47002;-0.21331;2.96769;3.41315;-0.36777;-0.06281;-1.69068;-0.14336;0.00671;1.09536;3.01285;3.66767;-1.51229;0.61434;-0.58837;3.83718;4.26818;-0.55446;
0.45293;-0.24697;3.03501;3.48016;-0.40046;-0.06679;-1.71180;-0.24826;-0.08736;1.18094;3.00125;3.66938;-1.61507;0.57807;-0.63384;3.72814;4.15913;-0.41626;
0.44390;-0.26505;3.18812;3.63272;-0.44721;-0.07389;-1.64875;-0.42699;-0.24772;1.42660;2.90622;3.60235;-1.69960;0.50944;-0.70522;3.07258;3.50358;0.25266;
0.25892;-0.44745;3.24356;3.68755;-0.49184;-0.08267;-1.34977;-0.60703;-0.41598;1.74390;2.89141;3.59883;-1.42366;0.88131;-0.33377;2.01529;2.44628;0.72433;
0.25805;-0.44833;3.24835;3.69220;-0.48207;-0.06348;-1.20514;-0.72886;-0.53289;1.84074;2.88398;3.59346;-1.34586;0.99578;-0.21972;1.59824;2.02924;0.80575;
0.25835;-0.44821;3.24946;3.69330;-0.47147;-0.05177;-1.10380;-0.82407;-0.62453;1.89848;2.87646;3.58719;-1.29009;1.07644;-0.13934;1.30589;1.73689;0.87009;
0.25890;-0.44834;3.24921;3.69304;-0.46157;-0.04117;-1.02636;-0.90522;-0.70277;1.93803;2.86849;3.58013;-1.24555;1.13974;-0.07625;1.08070;1.51170;0.92254;
0.26246;-0.44818;3.24842;3.69230;-0.45493;-0.03045;-0.96647;-0.97944;-0.77423;1.96746;2.85846;3.57093;-1.20715;1.19273;-0.02340;0.88648;1.31748;0.96477;
0.26732;-0.44633;3.24750;3.69136;-0.45308;-0.01893;-0.91265;-1.06161;-0.85347;1.99207;2.84287;3.55625;-1.17212;1.23839;0.02219;0.70628;1.13728;0.99165;
0.26818;-0.44574;3.24682;3.69053;-0.45805;-0.00873;-0.85196;-1.16789;-0.95635;2.01826;2.81541;3.52996;-1.13772;1.27768;0.06152;0.54388;0.97488;0.97327;
0.25864;-0.45279;3.24634;3.68976;-0.46620;0.00403;-0.78281;-1.29019;-1.07495;2.04854;2.77902;3.49498;-1.10224;1.31214;0.09614;0.40244;0.83343;0.89160;
0.23740;-0.46969;3.24594;3.68895;-0.47170;0.02409;-0.71047;-1.40685;-1.18815;2.08267;2.74354;3.46094;-1.06529;1.34543;0.12965;0.26294;0.69394;0.75888;
0.20447;-0.49693;3.24717;3.68964;-0.48085;0.04549;-0.64651;-1.49758;-1.27620;2.12287;2.71329;3.43211;-1.02677;1.37948;0.16396;0.09615;0.52714;0.55364;
0.02424;-0.67090;3.28111;3.72249;-0.65666;-0.11223;-0.88435;-1.26091;-1.04833;2.17219;2.63904;3.35926;-0.99167;1.41087;0.19565;-1.06355;-0.63256;0.14929;
-0.03760;-0.72027;3.29168;3.73105;-0.70429;-0.13280;-0.88298;-1.30561;-1.09541;2.20277;2.57112;3.29177;-0.99116;1.41130;0.19610;-1.37558;-0.94458;0.09090;
-0.04987;-0.72588;3.29749;3.73568;-0.72213;-0.13103;-0.88352;-1.33159;-1.12274;2.21969;2.54225;3.26308;-0.99104;1.41136;0.19616;-1.52445;-1.09345;0.05669;
-0.05475;-0.72682;3.30149;3.73891;-0.73319;-0.12962;-0.88608;-1.34999;-1.14209;2.23115;2.52265;3.24361;-0.99099;1.41138;0.19619;-1.62113;-1.19013;0.03558;
-0.05693;-0.72632;3.30451;3.74137;-0.74106;-0.12853;-0.88912;-1.36441;-1.15723;2.23973;2.50776;3.22882;-0.99097;1.41140;0.19621;-1.69197;-1.26098;0.02085;
-0.05790;-0.72531;3.30693;3.74337;-0.74705;-0.12766;-0.89217;-1.37619;-1.16958;2.24648;2.49586;3.21700;-0.99096;1.41140;0.19622;-1.74694;-1.31594;0.00990;
-0.05826;-0.72414;3.30893;3.74502;-0.75184;-0.12693;-0.89508;-1.38616;-1.18002;2.25200;2.48597;3.20717;-0.99096;1.41140;0.19622;-1.79153;-1.36054;0.00136;
-0.05830;-0.72295;3.31059;3.74640;-0.75577;-0.12633;-0.89781;-1.39472;-1.18898;2.25660;2.47757;3.19883;-0.99096;1.41140;0.19622;-1.82856;-1.39756;-0.00550;
-0.05817;-0.72180;3.31205;3.74762;-0.75909;-0.12580;-0.90035;-1.40223;-1.19683;2.26053;2.47029;3.19159;-0.99096;1.41140;0.19621;-1.86010;-1.42910;-0.01116;
-0.05794;-0.72071;3.31331;3.74868;-0.76194;-0.12535;-0.90270;-1.40887;-1.20377;2.26394;2.46391;3.18526;-0.99098;1.41140;0.19621;-1.88728;-1.45628;-0.01589;
-0.05766;-0.71970;3.31442;3.74961;-0.76442;-0.12495;-0.90489;-1.41483;-1.20999;2.26692;2.45823;3.17961;-0.99099;1.41140;0.19621;-1.91112;-1.48013;-0.01993;
-0.05735;-0.71876;3.31539;3.75042;-0.76660;-0.12460;-0.90693;-1.42019;-1.21558;2.26956;2.45316;3.17457;-0.99100;1.41138;0.19620;-1.93218;-1.50118;-0.02341;
-0.05702;-0.71788;3.31625;3.75114;-0.76854;-0.12428;-0.90883;-1.42508;-1.22067;2.27192;2.44856;3.17000;-0.99102;1.41135;0.19620;-1.95101;-1.52002;-0.02644;
-0.05670;-0.71706;3.31707;3.75185;-0.77027;-0.12400;-0.91061;-1.42954;-1.22532;2.27402;2.44439;3.16586;-0.99103;1.41132;0.19620;-1.96793;-1.53693;-0.02911;
-0.05638;-0.71630;3.31782;3.75248;-0.77184;-0.12374;-0.91228;-1.43365;-1.22960;2.27594;2.44057;3.16206;-0.99104;1.41129;0.19619;-1.98328;-1.55228;-0.03147;
-0.05606;-0.71559;3.31850;3.75305;-0.77326;-0.12350;-0.91385;-1.43744;-1.23355;2.27768;2.43705;3.15857;-0.99106;1.41127;0.19619;-1.99724;-1.56624;-0.03358;
